id	section	description	expected	tolerance	tex_source	status	notebook
R1.27	Results 1	disease-associated genes by 2024 (denominator)	8129	0	results/01_panoramic.tex	pending	02-main/01_panoramic
R1.28	Results 1	genes from non-EUR studies	1829	0	results/01_panoramic.tex	pending	02-main/01_panoramic
R1.29	Results 1	genes from mixed studies	633	0	results/01_panoramic.tex	pending	02-main/01_panoramic
R1.30	Results 1	gene-disease pairs not from EUR common	16384	0	results/01_panoramic.tex	pending	02-main/01_panoramic
R1.31	Results 1	gene-disease pairs by 2024 (denominator)	34905	0	results/01_panoramic.tex	pending	02-main/01_panoramic
R1.32	Results 1	gene-disease pairs from non-EUR	12285	0	results/01_panoramic.tex	pending	02-main/01_panoramic
R1.33	Results 1	gene-disease pairs from mixed	4099	0	results/01_panoramic.tex	pending	02-main/01_panoramic
R1.34	Results 1	IRR non-EUR vs EUR	1.69	0.02	results/01_panoramic.tex	pending	03-supp/sr12
R1.35	Results 1	IRR mixed vs EUR	0.97	0.02	results/01_panoramic.tex	pending	03-supp/sr12
R1.36	Results 1	IRR per tenfold effective sample size	3.67	0.05	results/01_panoramic.tex	pending	03-supp/sr12
R1.37	Results 1	genes associated with 2+ diseases	5314	0	results/01_panoramic.tex	pending	02-main/01_panoramic
R1.38	Results 1	genes associated with >1 therapeutic area	4743	0	results/01_panoramic.tex	pending	02-main/01_panoramic
R2.01	Results 2	non-redundant replicated CSs with PIP >= 0.5	120809	0	results/02_selective_pressures.tex	pending	02-main/02_selective_pressures
R2.02	Results 2	enhancer-overlapping share in GWAS disease loci (%)	13.8	0.05	results/02_selective_pressures.tex	pending	02-main/02_selective_pressures
R2.03	Results 2	promoter-overlapping share in cis-pQTLs (%)	9.1	0.05	results/02_selective_pressures.tex	pending	02-main/02_selective_pressures
R2.04	Results 2	promoter-overlapping share in GWAS disease loci (%)	2.9	0.05	results/02_selective_pressures.tex	pending	02-main/02_selective_pressures
R2.05	Results 2	replicated lead variants intragenic or PAV (%)	63	0.5	results/02_selective_pressures.tex	pending	02-main/02_selective_pressures
R3.01	Results 3	L2G average precision on held-out test set	0.81	0.005	results/03_colocalisation.tex	blocked	02-main/03_colocalisation_l2g
R3.02	Results 3	L2G area under the curve	0.95	0.005	results/03_colocalisation.tex	blocked	02-main/03_colocalisation_l2g
R3.03	Results 3	L2G recall at score >= 0.5	0.65	0.005	results/03_colocalisation.tex	pending	02-main/03_colocalisation_l2g
R3.04	Results 3	CS-protein coding gene pairs scored	7066749	0	results/03_colocalisation.tex	pending	02-main/03_colocalisation_l2g
R3.05	Results 3	previous Open Targets model average precision	0.65	0.005	results/03_colocalisation.tex	blocked	02-main/03_colocalisation_l2g
R3.06	Results 3	L2G FDR at score >= 0.5 (%)	11.5	0.05	results/03_colocalisation.tex	pending	03-supp/sr04
R3.07	Results 3	nearest-gene FDR (%)	27	0.05	results/03_colocalisation.tex	pending	03-supp/sr04
R3.08	Results 3	prioritised genes lacking PAV/molQTL support in 2015 (%)	49	0.5	results/03_colocalisation.tex	pending	02-main/03_colocalisation_l2g
R3.09	Results 3	prioritised genes lacking PAV/molQTL support in 2024 (%)	26	0.5	results/03_colocalisation.tex	pending	02-main/03_colocalisation_l2g
R3.10	Results 3	prioritised genes with eQTL colocalisation (%)	36.7	0.05	results/03_colocalisation.tex	pending	02-main/03_colocalisation_l2g
R3.11	Results 3	prioritised genes with pQTL colocalisation (%)	5.7	0.05	results/03_colocalisation.tex	pending	02-main/03_colocalisation_l2g
R3.12	Results 3	regions where a secondary CS carries the evidence (%)	81.5	0.05	results/03_colocalisation.tex	pending	03-supp/sr05
R3.13	Results 3	eQTL colocalisation sensitivity (%)	21.8	0.05	results/03_colocalisation.tex	pending	03-supp/sr04
R3.14	Results 3	eQTL colocalisation FDR (%)	65.1	0.05	results/03_colocalisation.tex	pending	03-supp/sr04
R3.15	Results 3	CS-gene assignments that are nearest to TSS (%)	81.2	0.05	results/03_colocalisation.tex	pending	02-main/03_colocalisation_l2g
R3.16	Results 3	nearest-gene assignments with no PAV or coloc support (%)	46.1	0.05	results/03_colocalisation.tex	pending	02-main/03_colocalisation_l2g
R3.17	Results 3	assignments supported by a PAV (%)	13.0	0.05	results/03_colocalisation.tex	pending	02-main/03_colocalisation_l2g
R3.18	Results 3	MST1 L2G score	0.86	0.005	results/03_colocalisation.tex	pending	02-main/03_colocalisation_l2g
R3.19	Results 3	OR for most LoF-constrained gene in CS neighbourhood	1.9	0.05	results/03_colocalisation.tex	blocked	02-main/03_colocalisation_l2g
R4.01	Results 4	independent colocalisation clusters	20041	0	results/04_variant_pleiotropy.tex	pending	02-main/04_variant_pleiotropy
R4.02	Results 4	clusters with more than one lead variant	5595	0	results/04_variant_pleiotropy.tex	pending	02-main/04_variant_pleiotropy
R4.03	Results 4	clusters linked to multiple diseases	6617	0	results/04_variant_pleiotropy.tex	pending	02-main/04_variant_pleiotropy
R4.04	Results 4	maximum diseases per cluster	120	0	results/04_variant_pleiotropy.tex	pending	02-main/04_variant_pleiotropy
R4.05	Results 4	mean diseases per cluster	2.14	0.005	results/04_variant_pleiotropy.tex	pending	02-main/04_variant_pleiotropy
R4.06	Results 4	clusters linked to multiple therapeutic areas	4539	0	results/04_variant_pleiotropy.tex	pending	02-main/04_variant_pleiotropy
R4.07	Results 4	maximum therapeutic areas per cluster	20	0	results/04_variant_pleiotropy.tex	pending	02-main/04_variant_pleiotropy
R4.08	Results 4	mean therapeutic areas per cluster	1.40	0.005	results/04_variant_pleiotropy.tex	pending	02-main/04_variant_pleiotropy
R4.09	Results 4	Spearman rho diseases vs therapeutic areas per cluster	0.81	0.005	results/04_variant_pleiotropy.tex	pending	02-main/04_variant_pleiotropy
R4.10	Results 4	vPS variance explained by predicted power alone (%)	14.7	0.05	results/04_variant_pleiotropy.tex	pending	02-main/04_variant_pleiotropy
R4.11	Results 4	vPS variance explained by full joint model (%)	17.7	0.05	results/04_variant_pleiotropy.tex	pending	02-main/04_variant_pleiotropy
R4.12	Results 4	vPS variance explained excluding predicted power (%)	6.0	0.05	results/04_variant_pleiotropy.tex	pending	02-main/04_variant_pleiotropy
R4.13	Results 4	vPS variance explained by max effective sample size (%)	0.45	0.011	results/04_variant_pleiotropy.tex	pending	02-main/04_variant_pleiotropy
R4.14	Results 4	pleiotropic lead variants	5188	0	results/04_variant_pleiotropy.tex	pending	02-main/04_variant_pleiotropy
R4.15	Results 4	lead variants fully concordant in direction	4797	0	results/04_variant_pleiotropy.tex	pending	02-main/04_variant_pleiotropy
R4.16	Results 4	lead variants with an opposing direction	391	0	results/04_variant_pleiotropy.tex	pending	02-main/04_variant_pleiotropy
R4.17	Results 4	lead variants with lead vPS >= 10	135	0	results/04_variant_pleiotropy.tex	pending	02-main/04_variant_pleiotropy
R4.18	Results 4	of those, with directionality agreement < 0.8	31	0	results/04_variant_pleiotropy.tex	pending	02-main/04_variant_pleiotropy
R4.19	Results 4	genes carrying those 31 variants	34	0	results/04_variant_pleiotropy.tex	pending	02-main/04_variant_pleiotropy
R4.20	Results 4	APOE 19_44908684_T_C lead vPS	85	0	results/04_variant_pleiotropy.tex	pending	02-main/04_variant_pleiotropy
R4.21	Results 4	APOE 19_44908684_T_C beta concordance	0.66	0.005	results/04_variant_pleiotropy.tex	pending	02-main/04_variant_pleiotropy
R4.22	Results 4	APOE 19_44908684_T_C therapeutic areas	15	0	results/04_variant_pleiotropy.tex	pending	02-main/04_variant_pleiotropy
R5.01	Results 5	disease genes with gPS > 1	5314	0	results/05_gene_pleiotropy.tex	pending	02-main/05_gene_pleiotropy
R5.02	Results 5	mean gPS	4.45	0.005	results/05_gene_pleiotropy.tex	pending	02-main/05_gene_pleiotropy
R5.03	Results 5	maximum gPS	148	0	results/05_gene_pleiotropy.tex	pending	02-main/05_gene_pleiotropy
R5.04	Results 5	genes linked to multiple therapeutic areas	4743	0	results/05_gene_pleiotropy.tex	pending	02-main/05_gene_pleiotropy
R5.05	Results 5	mean therapeutic areas per gene	2.53	0.005	results/05_gene_pleiotropy.tex	pending	02-main/05_gene_pleiotropy
R5.06	Results 5	maximum therapeutic areas per gene	21	0	results/05_gene_pleiotropy.tex	pending	02-main/05_gene_pleiotropy
R5.07	Results 5	Spearman rho gPS vs therapeutic area count	0.92	0.005	results/05_gene_pleiotropy.tex	pending	02-main/05_gene_pleiotropy
R5.08	Results 5	FTO gPS	126	0	results/05_gene_pleiotropy.tex	pending	02-main/05_gene_pleiotropy
R5.09	Results 5	APOE gPS	107	0	results/05_gene_pleiotropy.tex	pending	02-main/05_gene_pleiotropy
R5.10	Results 5	ABO gPS	105	0	results/05_gene_pleiotropy.tex	pending	02-main/05_gene_pleiotropy
R5.11	Results 5	CDKN2B gPS	148	0	results/05_gene_pleiotropy.tex	pending	02-main/05_gene_pleiotropy
R5.12	Results 5	CDKN2B therapeutic areas	21	0	results/05_gene_pleiotropy.tex	pending	02-main/05_gene_pleiotropy
R5.13	Results 5	Spearman rho variants per gene vs gPS	0.87	0.005	results/05_gene_pleiotropy.tex	pending	02-main/05_gene_pleiotropy
R5.14	Results 5	gPS joint model Pearson R2	0.15	0.011	results/05_gene_pleiotropy.tex	pending	02-main/05_gene_pleiotropy
R5.15	Results 5	gPS univariate beta max sample size	1.82	0.011	results/05_gene_pleiotropy.tex	pending	02-main/05_gene_pleiotropy
R5.16	Results 5	gPS univariate beta LoF constraint	0.64	0.011	results/05_gene_pleiotropy.tex	pending	02-main/05_gene_pleiotropy
R5.17	Results 5	gPS univariate beta missense constraint	0.59	0.011	results/05_gene_pleiotropy.tex	pending	02-main/05_gene_pleiotropy
R5.18	Results 5	gPS univariate beta pathway count	3.45	0.011	results/05_gene_pleiotropy.tex	pending	02-main/05_gene_pleiotropy
R5.19	Results 5	gPS univariate beta gene length	2.17	0.011	results/05_gene_pleiotropy.tex	pending	02-main/05_gene_pleiotropy
R5.20	Results 5	gPS univariate beta PAV association	0.53	0.011	results/05_gene_pleiotropy.tex	pending	02-main/05_gene_pleiotropy
R5.21	Results 5	gPS univariate beta tissue specificity	-0.11	0.011	results/05_gene_pleiotropy.tex	pending	02-main/05_gene_pleiotropy
R5.22	Results 5	Pearson r LoF vs missense constraint	0.628	0.005	results/05_gene_pleiotropy.tex	pending	02-main/05_gene_pleiotropy
R5.23	Results 5	significantly enriched pathways (FDR < 0.05)	312	0	results/05_gene_pleiotropy.tex	blocked	02-main/05_gene_pleiotropy
R5.24	Results 5	pathways enriched in high-pleiotropy genes	221	0	results/05_gene_pleiotropy.tex	blocked	02-main/05_gene_pleiotropy
R5.25	Results 5	pathways enriched in low-pleiotropy genes	91	0	results/05_gene_pleiotropy.tex	blocked	02-main/05_gene_pleiotropy
R5.26	Results 5	gene sets tested	21	0	results/05_gene_pleiotropy.tex	pending	02-main/05_gene_pleiotropy
R5.27	Results 5	gene sets significantly associated with higher gPS	10	0	results/05_gene_pleiotropy.tex	pending	02-main/05_gene_pleiotropy
R5.28	Results 5	OR cancer driver genes per doubling of gPS	1.49	0.011	results/05_gene_pleiotropy.tex	pending	02-main/05_gene_pleiotropy
R5.29	Results 5	OR mouse knockout-lethal homologs	1.30	0.011	results/05_gene_pleiotropy.tex	pending	02-main/05_gene_pleiotropy
R5.30	Results 5	OR developmental disorder panel genes	1.32	0.011	results/05_gene_pleiotropy.tex	pending	02-main/05_gene_pleiotropy
R5.31	Results 5	OR safety-terminated trial targets	1.31	0.011	results/05_gene_pleiotropy.tex	pending	02-main/05_gene_pleiotropy
R5.32	Results 5	OR withdrawn drug targets	1.08	0.011	results/05_gene_pleiotropy.tex	pending	02-main/05_gene_pleiotropy
R5.33	Results 5	withdrawn drug target gene set size	166	0	results/05_gene_pleiotropy.tex	pending	02-main/05_gene_pleiotropy
R5.34	Results 5	OR known safety event targets	1.13	0.011	results/05_gene_pleiotropy.tex	pending	02-main/05_gene_pleiotropy
R5.35	Results 5	known safety event gene set size	214	0	results/05_gene_pleiotropy.tex	pending	02-main/05_gene_pleiotropy
R5.36	Results 5	OR LoF-constrained genes Q4	1.23	0.011	results/05_gene_pleiotropy.tex	pending	02-main/05_gene_pleiotropy
R5.37	Results 5	OR low-constraint genes Q1	0.85	0.011	results/05_gene_pleiotropy.tex	pending	02-main/05_gene_pleiotropy
R5.38	Results 5	OR human knockout genes	0.89	0.011	results/05_gene_pleiotropy.tex	pending	02-main/05_gene_pleiotropy
R6.01	Results 6	approved target-indication pairs with GWAS support	242	0	results/06_therapeutic_success.tex	pending	02-main/06_therapeutic_success
R6.02	Results 6	overall genetic support OR	3.62	0.01	results/06_therapeutic_success.tex	pending	02-main/06_therapeutic_success
R6.03	Results 6	overall relative success	2.76	0.01	results/06_therapeutic_success.tex	pending	02-main/06_therapeutic_success
R6.04	Results 6	OR after mixed-effects adjustment	3.14	0.01	results/06_therapeutic_success.tex	pending	03-supp/sr08
R6.05	Results 6	OR rare-variant associations	7.0	0.05	results/06_therapeutic_success.tex	pending	02-main/06_therapeutic_success
R6.06	Results 6	OR common-variant associations	3.4	0.05	results/06_therapeutic_success.tex	pending	02-main/06_therapeutic_success
R6.07	Results 6	P rare vs common	0.0077	0.0005	results/06_therapeutic_success.tex	pending	02-main/06_therapeutic_success
R6.08	Results 6	OR Orphanet	5.1	0.05	results/06_therapeutic_success.tex	pending	02-main/06_therapeutic_success
R6.09	Results 6	OR OMIM	4.7	0.05	results/06_therapeutic_success.tex	pending	02-main/06_therapeutic_success
R6.10	Results 6	OR ClinVar/ClinGen	5.1	0.05	results/06_therapeutic_success.tex	pending	02-main/06_therapeutic_success
R6.11	Results 6	OR UniProt	5.0	0.05	results/06_therapeutic_success.tex	pending	02-main/06_therapeutic_success
R6.12	Results 6	OR Genomics England PanelApp	4.5	0.05	results/06_therapeutic_success.tex	pending	02-main/06_therapeutic_success
R6.13	Results 6	OR PAV-supported associations	6.0	0.05	results/06_therapeutic_success.tex	pending	02-main/06_therapeutic_success
R6.14	Results 6	OR non-PAV associations	3.1	0.05	results/06_therapeutic_success.tex	pending	02-main/06_therapeutic_success
R6.15	Results 6	P PAV vs non-PAV	0.0002	0.00005	results/06_therapeutic_success.tex	pending	02-main/06_therapeutic_success
R6.16	Results 6	OR gene-based analyses	7.2	0.05	results/06_therapeutic_success.tex	pending	02-main/06_therapeutic_success
R6.17	Results 6	OR large effect	4.6	0.05	results/06_therapeutic_success.tex	pending	02-main/06_therapeutic_success
R6.18	Results 6	OR small effect	3.5	0.05	results/06_therapeutic_success.tex	pending	02-main/06_therapeutic_success
R6.19	Results 6	OR gPS <= 5	4.8	0.05	results/06_therapeutic_success.tex	pending	02-main/06_therapeutic_success
R6.20	Results 6	OR gPS >= 10	3.0	0.05	results/06_therapeutic_success.tex	pending	02-main/06_therapeutic_success
R6.21	Results 6	P gPS low vs high	0.008	0.0005	results/06_therapeutic_success.tex	pending	02-main/06_therapeutic_success
R6.22	Results 6	OR single therapeutic area	4.3	0.05	results/06_therapeutic_success.tex	pending	02-main/06_therapeutic_success
R6.23	Results 6	OR six or more therapeutic areas	2.9	0.05	results/06_therapeutic_success.tex	pending	02-main/06_therapeutic_success
R6.24	Results 6	P TA count low vs high	0.18	0.01	results/06_therapeutic_success.tex	pending	02-main/06_therapeutic_success
R6.25	Results 6	OR high pleiotropy vs no GWAS support	0.74	0.01	results/06_therapeutic_success.tex	pending	02-main/06_therapeutic_success
R6.26	Results 6	OR previously approved target	4.13	0.01	results/06_therapeutic_success.tex	pending	02-main/06_therapeutic_success
R6.27	Results 6	gene-disease associations meeting PAV + 2-5 TA definition	2734	0	results/06_therapeutic_success.tex	pending	02-main/06_therapeutic_success
R6.28	Results 6	OR PAV + 2-5 therapeutic areas	10.3	0.05	results/06_therapeutic_success.tex	pending	02-main/06_therapeutic_success
R6.29	Results 6	RS PAV + 2-5 therapeutic areas	4.8	0.05	results/06_therapeutic_success.tex	pending	02-main/06_therapeutic_success
R6.30	Results 6	approved pairs also meeting the strict definition	51	0	results/06_therapeutic_success.tex	pending	02-main/06_therapeutic_success
R6.31	Results 6	that subset as a share of 242 (%)	21.1	0.05	results/06_therapeutic_success.tex	pending	02-main/06_therapeutic_success
S1.01	SR 1	binary traits among GWAS with a credible set (%)	20.24	0.05	supplementary_results.tex	pending	03-supp/01_finemapping_catalogue
S1.02	SR 1	studies with at least one credible set (%)	27.3	0.05	supplementary_results.tex	precomputed	03-supp/01_finemapping_catalogue
S1.03	SR 1	GWAS with a CS not reaching 90% NFE (%)	32	0.5	supplementary_results.tex	pending	03-supp/01_finemapping_catalogue
S1.04	SR 1	of those, non-EUR (%)	18.2	0.05	supplementary_results.tex	pending	03-supp/01_finemapping_catalogue
S1.05	SR 1	of those, mixed (%)	13.7	0.05	supplementary_results.tex	pending	03-supp/01_finemapping_catalogue
S1.06	SR 1	within non-EUR, East Asian (%)	50.0	0.05	supplementary_results.tex	pending	03-supp/01_finemapping_catalogue
S1.07	SR 1	within non-EUR, African (%)	31.5	0.05	supplementary_results.tex	pending	03-supp/01_finemapping_catalogue
S1.08	SR 1	within non-EUR, Finnish (%)	9.8	0.05	supplementary_results.tex	pending	03-supp/01_finemapping_catalogue
S1.09	SR 1	within non-EUR, American (%)	8.7	0.05	supplementary_results.tex	pending	03-supp/01_finemapping_catalogue
S1.10	SR 1	mixed studies predominantly NFE (%)	82.7	0.05	supplementary_results.tex	pending	03-supp/01_finemapping_catalogue
S1.11	SR 1	earliest publication year	2006	0	supplementary_results.tex	pending	03-supp/01_finemapping_catalogue
S1.12	SR 1	mean GWAS credible set size	24.61	0.005	supplementary_results.tex	pending	03-supp/01_finemapping_catalogue
S1.13	SR 1	median GWAS credible set size	5	0	supplementary_results.tex	pending	03-supp/01_finemapping_catalogue
S1.14	SR 1	single-variant resolution, FinnGen (%)	13.5	0.05	supplementary_results.tex	pending	03-supp/01_finemapping_catalogue
S1.15	SR 1	single-variant resolution, GWAS Catalog sumstats (%)	40.1	0.05	supplementary_results.tex	pending	03-supp/01_finemapping_catalogue
S1.16	SR 1	slope of credible set size on lead variant MAF	14.0	0.05	supplementary_results.tex	pending	03-supp/01_finemapping_catalogue
S1.17	SR 1	unique genes covered by molQTL credible sets	29342	0	supplementary_results.tex	pending	03-supp/01_finemapping_catalogue
S1.18	SR 1	eQTL credible sets	1402222	0	supplementary_results.tex	pending	03-supp/01_finemapping_catalogue
S1.19	SR 1	pQTL credible sets	33731	0	supplementary_results.tex	pending	03-supp/01_finemapping_catalogue
S1.20	SR 1	replicated GWAS credible sets	263705	0	supplementary_results.tex	pending	03-supp/01_finemapping_catalogue
S1.21	SR 1	replicated GWAS credible sets (%)	33.4	0.05	supplementary_results.tex	pending	03-supp/01_finemapping_catalogue
S1.22	SR 1	replicated molQTL credible sets	1461445	0	supplementary_results.tex	pending	03-supp/01_finemapping_catalogue
S1.23	SR 1	replicated molQTL credible sets (%)	71.5	0.05	supplementary_results.tex	pending	03-supp/01_finemapping_catalogue
S1.24	SR 1	qualified measurement studies	61885	0	supplementary_results.tex	pending	03-supp/01_finemapping_catalogue
S1.25	SR 1	qualified disease studies	15730	0	supplementary_results.tex	pending	03-supp/01_finemapping_catalogue
S1.26	SR 1	qualified credible sets with a rare lead variant	15311	0	supplementary_results.tex	pending	03-supp/01_finemapping_catalogue
S1.27	SR 1	those as a share of qualified credible sets (%)	2.94	0.005	supplementary_results.tex	pending	03-supp/01_finemapping_catalogue
S1.28	SR 1	GWAS Catalog studies excluded before fine-mapping (%)	30	1.0	supplementary_results.tex	precomputed	03-supp/01_finemapping_catalogue
S1.29	SR 1	lead variant-disease pairs seen in more than one study (%)	16	0.5	supplementary_results.tex	pending	03-supp/01_finemapping_catalogue
S1.30	SR 1	of those, significant Cochran heterogeneity (%)	15	0.5	supplementary_results.tex	pending	03-supp/01_finemapping_catalogue
S2.01	SR 2	overlaps significant by eCAVIAR (%)	67	0.5	supplementary_results.tex	precomputed	03-supp/02_systematic_colocalisation
S2.02	SR 2	overlaps significant by COLOC (%)	79	0.5	supplementary_results.tex	precomputed	03-supp/02_systematic_colocalisation
S2.03	SR 2	qualified CSs colocalising with any molQTL	330584	0	supplementary_results.tex	pending	03-supp/02_systematic_colocalisation
S2.04	SR 2	those as a share of qualified CSs (%)	63	0.5	supplementary_results.tex	pending	03-supp/02_systematic_colocalisation
S2.05	SR 2	excluding trans-pQTL colocalisations	302264	0	supplementary_results.tex	pending	03-supp/02_systematic_colocalisation
S2.06	SR 2	those as a share of qualified CSs (%)	58	0.5	supplementary_results.tex	pending	03-supp/02_systematic_colocalisation
S2.07	SR 2	with a protein-coding gene molQTL colocalisation	285229	0	supplementary_results.tex	pending	03-supp/02_systematic_colocalisation
S2.08	SR 2	those as a share of qualified CSs (%)	55	0.5	supplementary_results.tex	pending	03-supp/02_systematic_colocalisation
S2.09	SR 2	unique protein-coding genes in those colocalisations	14026	0	supplementary_results.tex	pending	03-supp/02_systematic_colocalisation
S3.01	SR 3	qualified CSs with a protein-coding gene in the feature matrix	513568	0	supplementary_results.tex	pending	03-supp/03_l2g_gene_prioritisation
S3.02	SR 3	CS-gene pairs in the feature matrix	7066749	0	supplementary_results.tex	pending	03-supp/03_l2g_gene_prioritisation
S3.03	SR 3	mean genes assigned per CS	13.76	0.005	supplementary_results.tex	pending	03-supp/03_l2g_gene_prioritisation
S3.04	SR 3	median genes assigned per CS	10	0	supplementary_results.tex	pending	03-supp/03_l2g_gene_prioritisation
S3.05	SR 3	positive gene-CS pairs in the gold standard	8520	0	supplementary_results.tex	pending	03-supp/03_l2g_gene_prioritisation
S3.06	SR 3	unique positive gene-EFO pairs	1377	0	supplementary_results.tex	pending	03-supp/03_l2g_gene_prioritisation
S3.07	SR 3	unique positive genes	390	0	supplementary_results.tex	pending	03-supp/03_l2g_gene_prioritisation
S3.08	SR 3	training set positives	7386	0	supplementary_results.tex	pending	03-supp/03_l2g_gene_prioritisation
S3.09	SR 3	training set negatives	106973	0	supplementary_results.tex	pending	03-supp/03_l2g_gene_prioritisation
S3.10	SR 3	test set positives	1134	0	supplementary_results.tex	pending	03-supp/03_l2g_gene_prioritisation
S3.11	SR 3	test set negatives	17477	0	supplementary_results.tex	pending	03-supp/03_l2g_gene_prioritisation
S3.12	SR 3	negatives per positive	14.6	0.05	supplementary_results.tex	pending	03-supp/03_l2g_gene_prioritisation
S3.13	SR 3	positive gene-EFO pairs whose gene is nearest the TSS	773	0	supplementary_results.tex	pending	03-supp/03_l2g_gene_prioritisation
S3.14	SR 3	those as a share of positives (%)	56.1	0.05	supplementary_results.tex	pending	03-supp/03_l2g_gene_prioritisation
S3.15	SR 3	average precision on the held-out set	0.81	0.005	supplementary_results.tex	blocked	03-supp/03_l2g_gene_prioritisation
S3.16	SR 3	area under the curve on the held-out set	0.95	0.005	supplementary_results.tex	blocked	03-supp/03_l2g_gene_prioritisation
S3.17	SR 3	precision at L2G >= 0.5	0.885	0.0005	supplementary_results.tex	pending	03-supp/03_l2g_gene_prioritisation
S3.18	SR 3	selectivity at L2G >= 0.5	0.994	0.0005	supplementary_results.tex	pending	03-supp/03_l2g_gene_prioritisation
S3.19	SR 3	recall at L2G >= 0.5	0.645	0.0005	supplementary_results.tex	pending	03-supp/03_l2g_gene_prioritisation
S3.20	SR 3	held-out true negatives	17362	0	supplementary_results.tex	pending	03-supp/03_l2g_gene_prioritisation
S3.21	SR 3	held-out false positives	95	0	supplementary_results.tex	pending	03-supp/03_l2g_gene_prioritisation
S3.22	SR 3	held-out false negatives	402	0	supplementary_results.tex	pending	03-supp/03_l2g_gene_prioritisation
S3.23	SR 3	held-out true positives	732	0	supplementary_results.tex	pending	03-supp/03_l2g_gene_prioritisation
S3.24	SR 3	CSs with exactly one gene at L2G >= 0.5	309989	0	supplementary_results.tex	pending	03-supp/03_l2g_gene_prioritisation
S3.25	SR 3	those as a share of qualified CSs (%)	59.5	0.05	supplementary_results.tex	pending	03-supp/03_l2g_gene_prioritisation
S3.26	SR 3	CSs with more than one gene at L2G >= 0.5	17463	0	supplementary_results.tex	pending	03-supp/03_l2g_gene_prioritisation
S3.27	SR 3	those as a share of qualified CSs (%)	3.4	0.05	supplementary_results.tex	pending	03-supp/03_l2g_gene_prioritisation
S3.28	SR 3	CSs with no gene at L2G >= 0.5	193523	0	supplementary_results.tex	pending	03-supp/03_l2g_gene_prioritisation
S3.29	SR 3	those as a share of qualified CSs (%)	37.1	0.05	supplementary_results.tex	pending	03-supp/03_l2g_gene_prioritisation
S3.30	SR 3	prioritisations with an eQTL colocalisation	191871	0	supplementary_results.tex	pending	03-supp/03_l2g_gene_prioritisation
S3.31	SR 3	those as a share of prioritisations (%)	36.7	0.05	supplementary_results.tex	pending	03-supp/03_l2g_gene_prioritisation
S3.32	SR 3	prioritisations with a pQTL colocalisation	30030	0	supplementary_results.tex	pending	03-supp/03_l2g_gene_prioritisation
S3.33	SR 3	those as a share of prioritisations (%)	5.7	0.05	supplementary_results.tex	pending	03-supp/03_l2g_gene_prioritisation
S3.34	SR 3	prioritisations with a protein-altering variant	63327	0	supplementary_results.tex	pending	03-supp/03_l2g_gene_prioritisation
