id	section	description	expected	tolerance	tex_source	status	notebook
RR14.45	R2-MJ-14	TYK2 19_10355447_C_T gated concordance	0.5	5e-05		pending	03-supp/15_immunity_infection_directionality
RR14.46	R2-MJ-14	LACC1 13_43883789_A_G gated lead_vPS	2	0		pending	03-supp/15_immunity_infection_directionality
RR14.47	R2-MJ-14	LACC1 13_43883789_A_G gated concordance	1.0	5e-05		pending	03-supp/15_immunity_infection_directionality
RR14.48	R2-MJ-14	TYK2 P1104A 19_10352442_G_C gated lead_vPS	16	0		pending	03-supp/15_immunity_infection_directionality
RR14.49	R2-MJ-14	TYK2 P1104A 19_10352442_G_C gated concordance	0.9375	5e-05		pending	03-supp/15_immunity_infection_directionality
RR14.50	R2-MJ-14	gated infection-side lead-variant-disease rows on the surviving pairs	48	0		pending	03-supp/15_immunity_infection_directionality
RR14.51	R2-MJ-14	of those, COVID-19	9	0		pending	03-supp/15_immunity_infection_directionality
RR14.52	R2-MJ-14	of those, the lymphoma terms	4	0		pending	03-supp/15_immunity_infection_directionality
RR14.53	R2-MJ-14	of those, peritonsillar abscess	7	0		pending	03-supp/15_immunity_infection_directionality
RR14.54	R2-MJ-14	trans-disease credible sets supplying both sides of a pair	0	0		pending	03-supp/15_immunity_infection_directionality
