,geneId,uniqueDiseases,uniqueTherapeuticAreas,maxEQTLColoc,maxPQTLColoc,maxVEP,maxDistanceTSS,minEffectiveSampleSize,maxEffectiveSampleSize,earliestPublicationDate,cancerOrBenignTumor,infectiousDisease,pregnancyOrPerinatalDisease,disorderOfVisualSystem,cardiovascularDisease,pancreasDisease,gastrointestinalDisease,reproductiveSystemOrBreastDisease,integumentarySystemDisease,endocrineSystemDisease,respiratoryOrThoracicDisease,urinarySystemDisease,musculoskeletalOrConnectiveTissueDisease,disorderOfEar,immuneSystemDisease,hematologicDisease,nervousSystemDisease,psychiatricDisorder,nutritionalOrMetabolicDisease,geneticFamilialOrCongenitalDisease,injuryPoisoningOrOtherComplication,signOrSymptom,other,totalStudies,lofConstraint,misConstraint,synConstraint,pathwayCount,tissueSpecificity,tissueDistribution,chromosome,start,end,approvedSymbol
26,ENSG00000029725,1,1,1,0,0,0,340825.7076940272,340825.7076940272,2023-05-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.508,1.5513,0.4708,1,-1.0,-1.0,17,5282265,5386340,RABEP1
27,ENSG00000070915,1,1,0,0,1,0,3750.4,3750.4,2023-10-18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0039999485,0.72585,0.18151,2,1.0,1.0,16,56865207,56915850,SLC12A3
28,ENSG00000143924,1,1,0,0,1,0,4245.506600377164,4245.506600377164,2018-10-02,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.32,-1.334,-2.0667,3,-1.0,-1.0,2,42169353,42332548,EML4
29,ENSG00000149124,1,1,0,0,0,0,427337.4491868293,427337.4491868293,2023-01-18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.91499996,-0.5518,-0.37605,3,0.75,0.5,11,58640426,58731974,GLYAT
30,ENSG00000177453,1,1,0,0,0,0,406587.2658730814,521818.7070055739,2023-11-09,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-0.18900001,0.23898,-0.44204,0,0.75,0.5,5,43192071,43280850,NIM1K
31,ENSG00000204897,1,1,0,0,0,1,15223.454539395489,15223.454539395489,2023-01-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.003000021,0.63462,0.56097,2,1.0,0.5,17,40748021,40755331,KRT25
32,ENSG00000008988,1,1,0,0,0,1,89519.16315227402,89519.16315227402,2023-01-18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.519,2.3201,-1.1766,18,-1.0,-1.0,8,56067254,56074510,RPS20
33,ENSG00000124237,3,1,0,0,0,1,33892.13656698846,33892.13656698846,2015-12-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-0.32700002,-0.22837,-0.34316,0,1.0,0.5,20,58150902,58161150,CIMIP1
34,ENSG00000136933,1,1,1,0,0,1,80065.63748488021,80065.63748488021,2022-07-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-0.07099998,0.63918,0.35236,1,-1.0,-1.0,9,125200542,125234161,RABEPK
35,ENSG00000166920,1,1,1,0,0,1,338763.57771536184,415452.66715166246,2023-01-18,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,-0.35300004,0.82266,0.47746,0,1.0,0.0,15,45430579,45448761,COXFA4L3
36,ENSG00000090372,1,1,1,0,0,0,151416.12986435954,151416.12986435954,2023-10-16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.477,2.1477,-1.1076,0,-1.0,-1.0,19,46719511,46746994,STRN4
37,ENSG00000100031,5,1,1,1,0,1,2998.164755838641,196816.54442141854,2021-08-13,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.426,3.5504,2.2699,7,0.5,0.0,22,24594811,24629005,GGT1
38,ENSG00000100167,1,1,0,0,1,1,171880.2916512608,171880.2916512608,2022-04-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.412,2.9494,1.1626,0,1.0,0.0,22,41969443,41998221,SEPTIN3
39,ENSG00000125633,1,1,0,0,0,1,208059.85546229704,208059.85546229704,2023-01-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.013999999,0.36196,0.1298,0,-1.0,-1.0,2,117915478,118014133,CCDC93
40,ENSG00000128833,2,1,1,0,0,1,135095.86576106868,1424218.0900670097,2020-05-06,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.10699999,1.2128,1.3411,0,-1.0,0.0,15,52192322,52295804,MYO5C
41,ENSG00000148482,1,1,0,0,0,1,28863.30790298137,28863.30790298137,2022-12-10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.110000014,-0.52511,-1.1851,0,1.0,0.5,10,17951839,18043292,SLC39A12
42,ENSG00000167182,1,1,0,0,0,1,28863.30790298137,28863.30790298137,2022-12-10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.686,3.1432,0.76204,0,-1.0,-1.0,17,47896150,47928957,SP2
43,ENSG00000167397,1,1,1,0,0,1,240639.50239824195,240639.50239824195,2021-10-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.17200005,-0.10044,-0.17353,1,0.5,-1.0,16,31090842,31095980,VKORC1
44,ENSG00000172156,3,1,0,0,0,1,21897.542503344637,160010.51072069994,2012-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,-0.742,-0.63377,-1.6864,2,0.5,0.0,17,34285742,34288334,CCL11
45,ENSG00000172292,1,1,1,0,0,1,294387.2978738704,294387.2978738704,2021-09-30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.407,1.1612,0.9004,1,-1.0,-1.0,2,168456249,168775134,CERS6
46,ENSG00000172771,1,1,0,0,1,1,406587.2658730814,521818.7070055739,2023-11-09,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-0.06099999,1.1101,0.47095,0,0.5,0.0,3,129401321,129428636,EFCAB12
47,ENSG00000189357,1,1,0,0,0,1,2010.4597478176527,2010.4597478176527,2019-01-18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-0.93799996,2.2029,2.0133,0,1.0,1.0,9,81928428,81934998,SPATA31D4
48,ENSG00000125347,43,14,1,0,0,1,10351.48329956029,562534.7696387965,2010-11-21,3,3,0,0,3,1,1,0,4,1,50,3,2,0,4,0,0,0,1,22,0,0,3,101,0.46899998,3.1942,0.98151,4,0.5,-1.0,5,132440440,132508719,IRF1
49,ENSG00000198670,58,9,0,1,1,1,5278.553937484916,756470.9740366563,2011-03-06,2,0,0,0,215,1,0,0,0,0,1,0,0,0,0,0,0,0,13,15,1,3,76,327,-0.18299997,-1.5017,-2.7146,1,1.0,0.5,6,160531482,160664275,LPA
50,ENSG00000184220,5,4,0,0,0,1,72982.48880358285,397765.9672627851,2023-01-18,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,5,-0.021000028,0.42162,1.1241,0,-1.0,-1.0,3,99817837,100181732,CMSS1
51,ENSG00000067560,3,3,1,0,0,1,52463.65429696694,319456.42855430726,2017-07-17,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0.56700003,4.5657,-0.25248,26,-1.0,-1.0,3,49359139,49412998,RHOA
52,ENSG00000126461,4,3,0,0,0,1,187203.10687937262,298389.02809443185,2023-01-18,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0.44700003,-2.735,-5.9177,0,-1.0,-1.0,19,49642209,49658642,SCAF1
53,ENSG00000116874,2,2,1,0,0,1,97181.90375256384,180089.50342935527,2021-11-04,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,3,-0.09800005,0.66232,0.52717,1,-1.0,-1.0,1,119031216,119140654,WARS2
54,ENSG00000160293,3,2,0,0,0,1,75245.66341852833,414433.58532016096,2023-01-18,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.37699997,2.4757,-1.0388,21,-1.0,-1.0,9,133761894,133992604,VAV2
55,ENSG00000182199,8,2,0,0,0,1,15866.724081734988,633132.2332759313,2014-07-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,6,0.20599997,2.1221,0.5265,3,0.5,-1.0,12,57229573,57234935,SHMT2
56,ENSG00000214193,2,2,1,0,0,1,328052.24452619,1424218.0900670097,2023-01-18,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,-0.22099996,-0.12511,0.24786,0,0.5,0.0,1,36306368,36329340,SH3D21
57,ENSG00000173114,8,2,0,0,0,1,15866.724081734988,633132.2332759313,2014-07-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,11,0.44099998,1.6488,0.18584,0,0.5,0.0,7,111091006,111125454,LRRN3
58,ENSG00000183813,3,2,0,0,0,1,38092.548464040476,70162.45524671457,2019-03-28,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,3,0.19099998,1.2285,-1.2766,2,0.5,0.5,3,32951644,32957120,CCR4
59,ENSG00000152952,4,2,0,0,1,1,104865.12229088554,1470466.6505612188,2023-01-18,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,13,-0.20899999,0.24827,0.024934,1,-1.0,0.0,3,146035139,146163725,PLOD2
60,ENSG00000184108,2,2,0,0,0,1,636.1886490807354,5532.1550014722625,2012-10-09,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,-0.43200004,-0.068157,-0.3839,0,1.0,1.0,4,188139441,188147743,TRIML1
61,ENSG00000198026,7,2,0,0,0,1,33892.13656698846,394357.452283155,2015-12-21,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0.282,-0.54217,-0.88006,1,-1.0,-1.0,20,45948660,45972203,ZNF335
62,ENSG00000115944,1,1,1,0,0,1,207220.14223281175,207220.14223281175,2023-01-18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.765,-0.97041,-0.25502,4,-1.0,-1.0,2,42333546,42425088,COX7A2L
63,ENSG00000157077,1,1,0,0,0,0,464892.4593283075,464892.4593283075,2023-01-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.592,2.5394,2.2336,4,-1.0,-1.0,1,52142089,52348671,ZFYVE9
64,ENSG00000181104,1,1,0,0,0,1,315325.55297640257,315325.55297640257,2024-07-19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.120000005,1.5448,0.4372,4,0.5,0.0,5,76716126,76735770,F2R
65,ENSG00000066427,1,1,1,0,0,0,725.727950310559,725.727950310559,2017-09-08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.41900003,1.6462,0.77202,2,-1.0,-1.0,14,92044496,92106621,ATXN3
66,ENSG00000145495,1,1,0,0,0,1,6990.419804844821,6990.419804844821,2024-07-19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.686,3.9835,0.87646,1,-1.0,-1.0,5,10353695,10440388,MARCHF6
67,ENSG00000233041,1,1,0,0,0,1,294387.2978738704,294387.2978738704,2021-09-30,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-0.44599998,1.2165,0.99471,0,1.0,0.0,15,40351033,40356434,PHGR1
68,ENSG00000170788,1,1,1,0,0,0,100711.28404230655,100711.28404230655,2023-01-18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.059999943,0.25532,-0.11978,0,1.0,0.5,10,80336105,80356755,DYDC1
69,ENSG00000196305,1,1,0,0,0,1,72982.48880358285,72982.48880358285,2023-01-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.08899999,1.005,0.5377,3,-1.0,-1.0,9,92210207,92293854,IARS1
70,ENSG00000254709,1,1,0,0,0,1,237176.1991038335,237176.1991038335,2023-01-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.92200005,-4.8852,-4.7387,0,0.5,0.0,22,22887780,22896111,IGLL5
71,ENSG00000142599,19,12,1,0,0,1,15866.724081734988,1122672.658801146,2015-07-21,0,2,0,2,0,0,0,0,2,1,16,1,1,0,3,0,16,0,0,0,1,1,2,48,0.541,0.18278,-3.4833,0,-1.0,-1.0,1,8352397,8848921,RERE
72,ENSG00000143537,12,9,1,0,1,1,2314.313784461153,521818.7070055739,2022-11-09,2,1,0,3,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,2,0,0,3,15,0.17400002,1.5426,1.5531,2,-1.0,-1.0,1,155050566,155062775,ADAM15
73,ENSG00000110092,23,7,1,0,0,1,3996.48,1424218.0900670097,2010-05-09,37,0,0,4,1,14,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,59,0.39099997,1.2714,-0.93749,17,-1.0,-1.0,11,69641156,69654474,CCND1
74,ENSG00000152661,9,5,0,0,0,1,19462.919455293995,645988.1975077938,2016-06-20,0,0,0,3,17,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,7,29,0.478,3.3847,-0.075573,11,-1.0,0.0,6,121435595,121449727,GJA1
75,ENSG00000176887,7,5,0,0,0,1,6600.972478682,1424218.0900670097,2021-09-30,5,0,0,0,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,-0.148,1.4861,-2.9078,0,0.5,1.0,2,5692384,5701385,SOX11
76,ENSG00000135437,10,4,1,0,0,1,5012.50123226096,326545.22790564946,2015-12-21,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,10,25,-0.29999995,1.0359,0.554,3,0.5,0.0,12,55720367,55724705,RDH5
77,ENSG00000182168,5,4,1,0,1,1,13696.9199392042,1424218.0900670097,2020-06-15,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,12,0.35399997,1.6698,-0.27472,1,0.5,0.0,4,95162504,95549206,UNC5C
78,ENSG00000081248,4,4,1,0,0,1,6796.671949604783,34592.48870785933,2018-01-01,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,0.34899998,1.3387,0.28347,1,0.75,0.5,1,201039512,201112451,CACNA1S
79,ENSG00000137941,9,4,1,0,1,1,95776.89591443514,1424218.0900670097,2019-07-01,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4,11,0.436,3.0319,0.28017,1,0.5,0.0,1,83865024,83999150,TTLL7
80,ENSG00000162804,5,4,1,1,1,1,116388.33957200912,414433.58532016096,2023-01-18,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5,0.334,2.116,-0.17649,0,-1.0,-1.0,2,240998618,241095568,SNED1
81,ENSG00000177352,5,4,1,0,1,1,161053.42428938235,756470.9740366563,2023-01-18,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,5,-0.13499999,0.58486,-0.012601,0,-1.0,-1.0,3,49162535,49166331,CCDC71
82,ENSG00000111344,5,3,0,0,0,1,5504.0130519525,203090.6413944402,2021-09-30,2,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0.01999998,0.3923,0.10975,1,0.5,0.0,12,113098819,113136239,RASAL1
83,ENSG00000144619,13,3,0,0,0,1,1173.5007132667617,633132.2332759313,2014-07-22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17,0,0,1,0,0,0,19,0.273,0.64317,-1.0412,1,0.5,0.0,3,2098813,3057959,CNTN4
84,ENSG00000091136,5,3,1,1,1,1,15603.785966148887,160010.51072069994,2020-05-13,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0.399,1.1458,0.99841,11,-1.0,0.0,7,107923799,108003213,LAMB1
85,ENSG00000138663,4,3,0,0,0,1,141293.18354755783,645988.1975077938,2023-01-18,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,0.696,3.2445,-0.27994,5,-1.0,-1.0,4,83034447,83075818,COPS4
86,ENSG00000186010,6,3,1,0,0,1,13312.090120192841,1778690.168860174,2014-07-22,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,13,-0.301,-0.55777,-0.42203,3,-1.0,-1.0,19,19515736,19529054,NDUFA13
87,ENSG00000100979,8,3,1,1,1,1,17587.419683666812,502231.5406594711,2021-12-06,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,16,-0.0019999743,0.88764,0.42326,2,-1.0,-1.0,20,45898621,45912155,PLTP
88,ENSG00000188263,5,3,0,0,1,1,21897.542503344637,515513.2178404211,2017-01-09,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,9,-0.14100003,-0.8701,-1.1375,0,0.75,0.5,22,49991811,50012765,IL17REL
89,ENSG00000006432,6,2,1,0,1,1,16548.58403989127,1778690.168860174,2022-01-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,6,0.32599998,1.6109,1.0585,0,0.5,0.0,14,70722526,70809534,MAP3K9
90,ENSG00000186564,3,2,0,0,0,1,180089.50342935527,427337.4491868293,2021-11-04,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,-0.95500004,-1.804,-2.8038,0,0.5,0.5,1,47438044,47440691,FOXD2
91,ENSG00000136830,2,2,1,0,0,1,151706.1907321582,521818.7070055739,2022-11-07,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0.43699998,1.5287,0.24038,0,0.5,-1.0,9,127505339,127578989,NIBAN2
92,ENSG00000021852,4,2,0,0,0,1,1090.4460111317255,1778690.168860174,2022-07-14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,-0.17999995,-0.21839,-0.31376,2,1.0,0.5,1,56929207,56974383,C8B
93,ENSG00000171497,2,2,1,0,0,1,115123.9652207147,294763.3750742061,2021-02-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,-0.30299997,0.40955,-0.59568,1,-1.0,-1.0,4,158709127,158723396,PPID
94,ENSG00000185869,3,2,0,0,0,1,498258.534626183,498258.534626183,2023-01-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0.08899999,1.9321,1.3519,0,1.0,0.0,19,36888124,36916291,ZNF829
