metric,year,tier_index,layer_label,cumulative,layer
disease genes,2018,2,non-EUR common,2531,230.0
disease genes,2018,3,mixed common,2608,77.0
disease genes,2018,4,rare,2629,21.0
disease genes,2019,1,EUR common,2722,2722.0
disease genes,2019,2,non-EUR common,2986,264.0
disease genes,2019,3,mixed common,3124,138.0
disease genes,2019,4,rare,3145,21.0
disease genes,2020,1,EUR common,3101,3101.0
disease genes,2020,2,non-EUR common,3499,398.0
disease genes,2020,3,mixed common,3755,256.0
disease genes,2020,4,rare,3781,26.0
disease genes,2021,1,EUR common,3919,3919.0
disease genes,2021,2,non-EUR common,4362,443.0
disease genes,2021,3,mixed common,4747,385.0
disease genes,2021,4,rare,4789,42.0
disease genes,2022,1,EUR common,4513,4513.0
disease genes,2022,2,non-EUR common,4992,479.0
disease genes,2022,3,mixed common,5437,445.0
disease genes,2022,4,rare,5494,57.0
disease genes,2023,1,EUR common,5038,5038.0
disease genes,2023,2,non-EUR common,5557,519.0
disease genes,2023,3,mixed common,6056,499.0
disease genes,2023,4,rare,6119,63.0
disease genes,2024,1,EUR common,5552,5552.0
disease genes,2024,2,non-EUR common,7381,1829.0
disease genes,2024,3,mixed common,8014,633.0
disease genes,2024,4,rare,8129,115.0
gene-disease pairs,2006,1,EUR common,1,1.0
gene-disease pairs,2006,2,non-EUR common,1,0.0
gene-disease pairs,2006,3,mixed common,1,0.0
gene-disease pairs,2006,4,rare,1,0.0
gene-disease pairs,2007,1,EUR common,46,46.0
gene-disease pairs,2007,2,non-EUR common,46,0.0
gene-disease pairs,2007,3,mixed common,46,0.0
gene-disease pairs,2007,4,rare,46,0.0
gene-disease pairs,2008,1,EUR common,130,130.0
gene-disease pairs,2008,2,non-EUR common,131,1.0
gene-disease pairs,2008,3,mixed common,131,0.0
gene-disease pairs,2008,4,rare,131,0.0
gene-disease pairs,2009,1,EUR common,248,248.0
gene-disease pairs,2009,2,non-EUR common,268,20.0
gene-disease pairs,2009,3,mixed common,268,0.0
gene-disease pairs,2009,4,rare,268,0.0
gene-disease pairs,2010,1,EUR common,412,412.0
gene-disease pairs,2010,2,non-EUR common,451,39.0
gene-disease pairs,2010,3,mixed common,452,1.0
gene-disease pairs,2010,4,rare,452,0.0
gene-disease pairs,2011,1,EUR common,616,616.0
gene-disease pairs,2011,2,non-EUR common,716,100.0
gene-disease pairs,2011,3,mixed common,722,6.0
gene-disease pairs,2011,4,rare,723,1.0
gene-disease pairs,2012,1,EUR common,979,979.0
gene-disease pairs,2012,2,non-EUR common,1146,167.0
gene-disease pairs,2012,3,mixed common,1159,13.0
gene-disease pairs,2012,4,rare,1161,2.0
gene-disease pairs,2013,1,EUR common,1260,1260.0
gene-disease pairs,2013,2,non-EUR common,1458,198.0
gene-disease pairs,2013,3,mixed common,1522,64.0
gene-disease pairs,2013,4,rare,1525,3.0
gene-disease pairs,2014,1,EUR common,1420,1420.0
gene-disease pairs,2014,2,non-EUR common,1639,219.0
gene-disease pairs,2014,3,mixed common,1744,105.0
gene-disease pairs,2014,4,rare,1750,6.0
gene-disease pairs,2015,1,EUR common,1955,1955.0
gene-disease pairs,2015,2,non-EUR common,2210,255.0
gene-disease pairs,2015,3,mixed common,2373,163.0
gene-disease pairs,2015,4,rare,2382,9.0
gene-disease pairs,2016,1,EUR common,2323,2323.0
gene-disease pairs,2016,2,non-EUR common,2624,301.0
gene-disease pairs,2016,3,mixed common,2813,189.0
gene-disease pairs,2016,4,rare,2823,10.0
gene-disease pairs,2017,1,EUR common,3054,3054.0
gene-disease pairs,2017,2,non-EUR common,3430,376.0
gene-disease pairs,2017,3,mixed common,3676,246.0
gene-disease pairs,2017,4,rare,3699,23.0
gene-disease pairs,2018,1,EUR common,5037,5037.0
gene-disease pairs,2018,2,non-EUR common,5510,473.0
gene-disease pairs,2018,3,mixed common,5742,232.0
gene-disease pairs,2018,4,rare,5777,35.0
gene-disease pairs,2019,1,EUR common,7051,7051.0
gene-disease pairs,2019,2,non-EUR common,7642,591.0
gene-disease pairs,2019,3,mixed common,8003,361.0
gene-disease pairs,2019,4,rare,8040,37.0
gene-disease pairs,2020,1,EUR common,8199,8199.0
gene-disease pairs,2020,2,non-EUR common,9085,886.0
gene-disease pairs,2020,3,mixed common,9688,603.0
gene-disease pairs,2020,4,rare,9738,50.0
gene-disease pairs,2021,1,EUR common,11005,11005.0
gene-disease pairs,2021,2,non-EUR common,12177,1172.0
gene-disease pairs,2021,3,mixed common,13429,1252.0
gene-disease pairs,2021,4,rare,13560,131.0
gene-disease pairs,2022,1,EUR common,13202,13202.0
gene-disease pairs,2022,2,non-EUR common,14543,1341.0
gene-disease pairs,2022,3,mixed common,16100,1557.0
gene-disease pairs,2022,4,rare,16275,175.0
gene-disease pairs,2023,1,EUR common,15332,15332.0
gene-disease pairs,2023,2,non-EUR common,16913,1581.0
gene-disease pairs,2023,3,mixed common,18670,1757.0
gene-disease pairs,2023,4,rare,18878,208.0
gene-disease pairs,2024,1,EUR common,18521,18521.0
gene-disease pairs,2024,2,non-EUR common,30806,12285.0
gene-disease pairs,2024,3,mixed common,34905,4099.0
gene-disease pairs,2024,4,rare,35535,630.0
