uid	similarity	catnum	ti_uid	gene	indication_mesh_id	indication_mesh_term	hcat	acat	ccat	hcatnum	acatnum	ccatnum	succ_p_1	succ_1_2	succ_2_3	succ_3_a	orphan	year_launch	arow	assoc_mesh_id	assoc_mesh_term	assoc_source	assoc_info	original_trait	original_link	assoc_year	pic_qtl_pval	pic_h4	af_gnomad_nfe	l2g_share	l2g_rank	cat	assoc_share	assoc_rank	highest_phase_with_known_outcome	genetic_insight	target_status
ABAT-D004828	0.211	1	ABAT-D004828	ABAT	D004828	Epilepsies, Partial	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	TRUE	NA	1018	D008232	Lymphoproliferative Disorders	OTG	NA	Monocyte count	https://genetics.opentargets.org/study/NEALE2_30130_raw	2018	NA	NA	0.00609281825252787	0.23	3	Preclinical	0.23	3	0	both	unsupported target
ABAT-D005600	0.428	1	ABAT-D005600	ABAT	D005600	Fragile X Syndrome	NA	Preclinical	Preclinical	NA	2	1	NA	NA	NA	NA	FALSE	NA	1019	D009765	Obesity	OTG	NA	Body mass index	https://genetics.opentargets.org/study/GCST007039	2018	NA	NA	0.553673416407061	0.28	3	Preclinical	0.28	3	NA	omim/tcga	unsupported target
ABAT-D005879	0.355	3	ABAT-D005879	ABAT	D005879	Tourette Syndrome	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	TRUE	NA	1014	D000592	Amino Acid Metabolism, Inborn Errors	OMIM	NA	GABA-transaminase deficiency, 613163 (3), Autosomal recessive	https://omim.org/entry/137150	NA	NA	NA	NA	NA	NA	Phase II	NA	NA	2	omim/tcga	unsupported target
ABAT-D009103	0.443	1	ABAT-D009103	ABAT	D009103	Multiple Sclerosis	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	TRUE	NA	1018	D008232	Lymphoproliferative Disorders	OTG	NA	Monocyte count	https://genetics.opentargets.org/study/NEALE2_30130_raw	2018	NA	NA	0.00609281825252787	0.23	3	Preclinical	0.23	3	0	both	unsupported target
ABAT-D009293	0.211	1	ABAT-D009293	ABAT	D009293	Opioid-Related Disorders	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	TRUE	NA	1018	D008232	Lymphoproliferative Disorders	OTG	NA	Monocyte count	https://genetics.opentargets.org/study/NEALE2_30130_raw	2018	NA	NA	0.00609281825252787	0.23	3	Preclinical	0.23	3	0	gwas	unsupported target
ABAT-D009437	0.447	1	ABAT-D009437	ABAT	D009437	Neuralgia	NA	Preclinical	Preclinical	NA	2	1	NA	NA	NA	NA	TRUE	NA	1019	D009765	Obesity	OTG	NA	Body mass index	https://genetics.opentargets.org/study/GCST007039	2018	NA	NA	0.553673416407061	0.28	3	Preclinical	0.28	3	NA	both	unsupported target
ABAT-D010300	0.464	1	ABAT-D010300	ABAT	D010300	Parkinson Disease	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	TRUE	NA	1014	D000592	Amino Acid Metabolism, Inborn Errors	OMIM	NA	GABA-transaminase deficiency, 613163 (3), Autosomal recessive	https://omim.org/entry/137150	NA	NA	NA	NA	NA	NA	Preclinical	NA	NA	0	both	unsupported target
ABAT-D013036	0.225	5	ABAT-D013036	ABAT	D013036	Spasms, Infantile	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	TRUE	2019	1018	D008232	Lymphoproliferative Disorders	OTG	NA	Monocyte count	https://genetics.opentargets.org/study/NEALE2_30130_raw	2018	NA	NA	0.00609281825252787	0.23	3	Launched	0.23	3	3	both	unsupported target
ABAT-D013313	0.033	1	ABAT-D013313	ABAT	D013313	Stress Disorders, Post-Traumatic	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	TRUE	NA	1018	D008232	Lymphoproliferative Disorders	OTG	NA	Monocyte count	https://genetics.opentargets.org/study/NEALE2_30130_raw	2018	NA	NA	0.00609281825252787	0.23	3	Preclinical	0.23	3	0	gwas	unsupported target
ABAT-D014402	0.355	1	ABAT-D014402	ABAT	D014402	Tuberous Sclerosis	NA	Preclinical	Preclinical	NA	2	1	NA	NA	NA	NA	FALSE	NA	1014	D000592	Amino Acid Metabolism, Inborn Errors	OMIM	NA	GABA-transaminase deficiency, 613163 (3), Autosomal recessive	https://omim.org/entry/137150	NA	NA	NA	NA	NA	NA	Preclinical	NA	NA	NA	both	unsupported target
ABAT-D019970	0.203	1	ABAT-D019970	ABAT	D019970	Cocaine-Related Disorders	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	TRUE	NA	1018	D008232	Lymphoproliferative Disorders	OTG	NA	Monocyte count	https://genetics.opentargets.org/study/NEALE2_30130_raw	2018	NA	NA	0.00609281825252787	0.23	3	Preclinical	0.23	3	0	gwas	unsupported target
ABAT-D020820	0.535	1	ABAT-D020820	ABAT	D020820	Dyskinesias	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	TRUE	NA	1019	D009765	Obesity	OTG	NA	Body mass index	https://genetics.opentargets.org/study/GCST007039	2018	NA	NA	0.553673416407061	0.28	3	Preclinical	0.28	3	0	omim/tcga	unsupported target
ABCA1-D000544	0.355	1	ABCA1-D000544	ABCA1	D000544	Alzheimer Disease	NA	Preclinical	Preclinical	NA	2	1	NA	NA	NA	NA	FALSE	NA	1190	D013631	Tangier Disease	OMIM	NA	Tangier disease, 205400 (3), Autosomal recessive	https://omim.org/entry/600046	NA	NA	NA	NA	NA	NA	Preclinical	NA	NA	NA	both	unsupported target
ABCA1-D002545	0.482	1	ABCA1-D002545	ABCA1	D002545	Brain Ischemia	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	1076	D003324	Coronary Artery Disease	OTG	NA	Coronary artery disease	https://genetics.opentargets.org/study/GCST010866	2020	NA	NA	0.0542590431738623	0.68	1	Preclinical	0.68	1	0	omim/tcga	unsupported target
ABCA1-D003920	0.712	1	ABCA1-D003920	ABCA1	D003920	Diabetes Mellitus	NA	Preclinical	Preclinical	NA	2	1	NA	NA	NA	NA	FALSE	NA	1078	D004700	Endocrine System Diseases	OTG	NA	Sex hormone-binding globulin levels adjusted for BMI	https://genetics.opentargets.org/study/GCST90012106	2020	NA	NA	0.567091454272864	0.84	1	Preclinical	0.84	1	NA	both	unsupported target
ABCA1-D003924	0.663	1	ABCA1-D003924	ABCA1	D003924	Diabetes Mellitus, Type 2	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	1078	D004700	Endocrine System Diseases	OTG	NA	Sex hormone-binding globulin levels adjusted for BMI	https://genetics.opentargets.org/study/GCST90012106	2020	NA	NA	0.567091454272864	0.84	1	Preclinical	0.84	1	0	both	unsupported target
ABCA1-D006333	0.442	1	ABCA1-D006333	ABCA1	D006333	Heart Failure	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	1076	D003324	Coronary Artery Disease	OTG	NA	Coronary artery disease	https://genetics.opentargets.org/study/GCST010866	2020	NA	NA	0.0542590431738623	0.68	1	Preclinical	0.68	1	0	both	unsupported target
ABCA1-D006949	1	2	ABCA1-D006949	ABCA1	D006949	Hyperlipidemias	Phase I	NA	Phase I	2	NA	2	TRUE	FALSE	NA	NA	FALSE	NA	1153	D006949	Hyperlipidemias	OTG	NA	Hyperlipidemia	https://genetics.opentargets.org/study/SAIGE_272_1	2018	NA	NA	0.122148781752203	0.81	1	Phase I	0.81	1	1	both	genetically supported target
ABCA1-D008060	0.774	3	ABCA1-D008060	ABCA1	D008060	Lipodystrophy	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	1249	D052439	Lipid Metabolism Disorders	OTG	NA	Disorders of lipoid metabolism	https://genetics.opentargets.org/study/SAIGE_272	2018	NA	NA	0.122148781752203	0.81	1	Phase II	0.81	1	2	omim/tcga	unsupported target
ABCA1-D008103	0.681	4	ABCA1-D008103	ABCA1	D008103	Liver Cirrhosis	NA	Phase III	Phase III	NA	5	4	TRUE	TRUE	TRUE	NA	FALSE	NA	1176	D008107	Liver Diseases	OTG	NA	Liver enzyme levels (alkaline phosphatase)	https://genetics.opentargets.org/study/GCST90013406	2021	NA	NA	0.333181759126933	0.76	1	Phase III	0.76	1	2	gwas	unsupported target
ABCA1-D009203	0.755	1	ABCA1-D009203	ABCA1	D009203	Myocardial Infarction	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	1076	D003324	Coronary Artery Disease	OTG	NA	Coronary artery disease	https://genetics.opentargets.org/study/GCST010866	2020	NA	NA	0.0542590431738623	0.68	1	Preclinical	0.68	1	0	gwas	unsupported target
ABCA1-D020521	0.501	1	ABCA1-D020521	ABCA1	D020521	Stroke	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	1076	D003324	Coronary Artery Disease	OTG	NA	Coronary artery disease	https://genetics.opentargets.org/study/GCST010866	2020	NA	NA	0.0542590431738623	0.68	1	Preclinical	0.68	1	0	gwas	unsupported target
ABCA1-D020961	0.443	1	ABCA1-D020961	ABCA1	D020961	Lewy Body Disease	NA	Preclinical	Preclinical	NA	2	1	NA	NA	NA	NA	FALSE	NA	1109	D006073	Gout	OTG	NA	Urate levels	https://genetics.opentargets.org/study/GCST008972	2019	NA	NA	0.356501950585176	0.81	1	Preclinical	0.81	1	NA	both	unsupported target
ABCA1-D042882	0.488	3	ABCA1-D042882	ABCA1	D042882	Gallstones	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	1176	D008107	Liver Diseases	OTG	NA	Liver enzyme levels (alkaline phosphatase)	https://genetics.opentargets.org/study/GCST90013406	2021	NA	NA	0.333181759126933	0.76	1	Phase II	0.76	1	2	both	unsupported target
ABCA1-D050197	0.821	1	ABCA1-D050197	ABCA1	D050197	Atherosclerosis	NA	Preclinical	Preclinical	NA	2	1	NA	NA	NA	NA	FALSE	NA	1076	D003324	Coronary Artery Disease	OTG	NA	Coronary artery disease	https://genetics.opentargets.org/study/GCST010866	2020	NA	NA	0.0542590431738623	0.68	1	Preclinical	0.68	1	NA	both	genetically supported target
ABCA1-D065626	0.601	4	ABCA1-D065626	ABCA1	D065626	Non-alcoholic Fatty Liver Disease	NA	Phase III	Phase III	NA	5	4	TRUE	TRUE	TRUE	NA	FALSE	NA	1176	D008107	Liver Diseases	OTG	NA	Liver enzyme levels (alkaline phosphatase)	https://genetics.opentargets.org/study/GCST90013406	2021	NA	NA	0.333181759126933	0.76	1	Phase III	0.76	1	2	both	unsupported target
ABCA4-D008268	0.806	1	ABCA4-D008268	ABCA4	D008268	Macular Degeneration	NA	Preclinical	Preclinical	NA	2	1	NA	NA	NA	NA	TRUE	NA	1437	D012174	Retinitis Pigmentosa	OMIM	NA	Retinal dystrophy, early-onset severe, 248200 (3), Autosomal recessive	https://omim.org/entry/601691	NA	NA	NA	NA	NA	NA	Preclinical	NA	NA	NA	both	genetically supported target
ABCA4-D012174	1	1	ABCA4-D012174	ABCA4	D012174	Retinitis Pigmentosa	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	TRUE	NA	1437	D012174	Retinitis Pigmentosa	OMIM	NA	Retinal dystrophy, early-onset severe, 248200 (3), Autosomal recessive	https://omim.org/entry/601691	NA	NA	NA	NA	NA	NA	Preclinical	NA	NA	0	both	genetically supported target
ABCB1-D001943	0.249	5	ABCB1-D001943	ABCB1	D001943	Breast Neoplasms	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	FALSE	NA	1772	D007970	Leukopenia	OTG	NA	White blood cell count	https://genetics.opentargets.org/study/GCST90002374	2020	NA	NA	0.0678868120456906	0.21	3	Launched	0.21	3	3	both	unsupported target
ABCB1-D002289	0.232	5	ABCB1-D002289	ABCB1	D002289	Carcinoma, Non-Small-Cell Lung	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	FALSE	NA	1772	D007970	Leukopenia	OTG	NA	White blood cell count	https://genetics.opentargets.org/study/GCST90002374	2020	NA	NA	0.0678868120456906	0.21	3	Launched	0.21	3	3	both	unsupported target
ABCB1-D006086	0.232	4	ABCB1-D006086	ABCB1	D006086	Graft vs Host Disease	Phase III	NA	Phase III	4	NA	4	TRUE	TRUE	TRUE	FALSE	FALSE	NA	1772	D007970	Leukopenia	OTG	NA	White blood cell count	https://genetics.opentargets.org/study/GCST90002374	2020	NA	NA	0.0678868120456906	0.21	3	Phase III	0.21	3	3	gwas	unsupported target
ABCB1-D007239	0.332	1	ABCB1-D007239	ABCB1	D007239	Infections	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	1772	D007970	Leukopenia	OTG	NA	White blood cell count	https://genetics.opentargets.org/study/GCST90002374	2020	NA	NA	0.0678868120456906	0.21	3	Preclinical	0.21	3	0	both	unsupported target
ABCB1-D007938	0.268	5	ABCB1-D007938	ABCB1	D007938	Leukemia	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	FALSE	NA	1772	D007970	Leukopenia	OTG	NA	White blood cell count	https://genetics.opentargets.org/study/GCST90002374	2020	NA	NA	0.0678868120456906	0.21	3	Launched	0.21	3	3	omim/tcga	unsupported target
ABCB1-D008268	0.254	1	ABCB1-D008268	ABCB1	D008268	Macular Degeneration	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	1772	D007970	Leukopenia	OTG	NA	White blood cell count	https://genetics.opentargets.org/study/GCST90002374	2020	NA	NA	0.0678868120456906	0.21	3	Preclinical	0.21	3	0	both	unsupported target
ABCB1-D009369	0.332	5	ABCB1-D009369	ABCB1	D009369	Neoplasms	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	FALSE	NA	1772	D007970	Leukopenia	OTG	NA	White blood cell count	https://genetics.opentargets.org/study/GCST90002374	2020	NA	NA	0.0678868120456906	0.21	3	Launched	0.21	3	3	gwas	unsupported target
ABCB1-D015212	0.247	1	ABCB1-D015212	ABCB1	D015212	Inflammatory Bowel Diseases	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	1772	D007970	Leukopenia	OTG	NA	White blood cell count	https://genetics.opentargets.org/study/GCST90002374	2020	NA	NA	0.0678868120456906	0.21	3	Preclinical	0.21	3	0	both	unsupported target
ABCB11-D002780	1	1	ABCB11-D002780	ABCB11	D002780	Cholestasis, Intrahepatic	NA	Preclinical	Preclinical	NA	2	1	NA	NA	NA	NA	FALSE	NA	1850	D002780	Cholestasis, Intrahepatic	OMIM	NA	Cholestasis, benign recurrent intrahepatic, 2, 605479 (3), Autosomal recessive	https://omim.org/entry/603201	NA	NA	NA	NA	NA	NA	Preclinical	NA	NA	NA	both	genetically supported target
ABCB4-D002780	1	1	ABCB4-D002780	ABCB4	D002780	Cholestasis, Intrahepatic	NA	Preclinical	Preclinical	NA	2	1	NA	NA	NA	NA	TRUE	NA	1948	D002780	Cholestasis, Intrahepatic	OMIM	NA	Cholestasis, progressive familial intrahepatic 3, 602347 (3), Autosomal recessive	https://omim.org/entry/171060	NA	NA	NA	NA	NA	NA	Preclinical	NA	NA	NA	both	genetically supported target
ABCC1-D001749	0.606	1	ABCC1-D001749	ABCC1	D001749	Urinary Bladder Neoplasms	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	2240	D051437	Renal Insufficiency	OTG	NA	Creatinine levels	https://genetics.opentargets.org/study/GCST90025946	2021	NA	NA	0.586624951114587	0.63	1	Preclinical	0.63	1	0	both	unsupported target
ABCC1-D001943	0.251	1	ABCC1-D001943	ABCC1	D001943	Breast Neoplasms	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	2223	D006402	Hematologic Diseases	OTG	NA	Basophil count	https://genetics.opentargets.org/study/GCST90002292	2020	NA	NA	0.653976091476091	0.78	1	Preclinical	0.78	1	0	both	unsupported target
ABCC1-D002289	0.233	1	ABCC1-D002289	ABCC1	D002289	Carcinoma, Non-Small-Cell Lung	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	2223	D006402	Hematologic Diseases	OTG	NA	Basophil count	https://genetics.opentargets.org/study/GCST90002292	2020	NA	NA	0.653976091476091	0.78	1	Preclinical	0.78	1	0	both	unsupported target
ABCC1-D003424	0.241	2	ABCC1-D003424	ABCC1	D003424	Crohn Disease	Phase I	NA	Phase I	2	NA	2	TRUE	FALSE	NA	NA	FALSE	NA	2223	D006402	Hematologic Diseases	OTG	NA	Basophil count	https://genetics.opentargets.org/study/GCST90002292	2020	NA	NA	0.653976091476091	0.78	1	Phase I	0.78	1	1	both	unsupported target
ABCC1-D003967	0.464	1	ABCC1-D003967	ABCC1	D003967	Diarrhea	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	2233	D009765	Obesity	OTG	NA	Hip circumference adjusted for BMI	https://genetics.opentargets.org/study/GCST90020028	2021	NA	NA	0.0333506358681547	0.51	1	Preclinical	0.51	1	0	omim/tcga	unsupported target
ABCC1-D005334	0.47	1	ABCC1-D005334	ABCC1	D005334	Fever	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	2233	D009765	Obesity	OTG	NA	Hip circumference adjusted for BMI	https://genetics.opentargets.org/study/GCST90020028	2021	NA	NA	0.0333506358681547	0.51	1	Preclinical	0.51	1	0	omim/tcga	unsupported target
ABCC1-D005767	0.317	3	ABCC1-D005767	ABCC1	D005767	Gastrointestinal Diseases	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	2223	D006402	Hematologic Diseases	OTG	NA	Basophil count	https://genetics.opentargets.org/study/GCST90002292	2020	NA	NA	0.653976091476091	0.78	1	Phase II	0.78	1	2	gwas	unsupported target
ABCC1-D006258	0.255	1	ABCC1-D006258	ABCC1	D006258	Head and Neck Neoplasms	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	2223	D006402	Hematologic Diseases	OTG	NA	Basophil count	https://genetics.opentargets.org/study/GCST90002292	2020	NA	NA	0.653976091476091	0.78	1	Preclinical	0.78	1	0	both	unsupported target
ABCC1-D007239	0.335	1	ABCC1-D007239	ABCC1	D007239	Infections	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	2223	D006402	Hematologic Diseases	OTG	NA	Basophil count	https://genetics.opentargets.org/study/GCST90002292	2020	NA	NA	0.653976091476091	0.78	1	Preclinical	0.78	1	0	both	unsupported target
ABCC1-D007249	0.397	1	ABCC1-D007249	ABCC1	D007249	Inflammation	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	2230	D008218	Lymphocytosis	OTG	NA	Lymphocyte counts	https://genetics.opentargets.org/study/GCST90002316	2020	NA	NA	0.0127124140614866	0.8	1	Preclinical	0.8	1	0	gwas	unsupported target
ABCC1-D008107	0.293	1	ABCC1-D008107	ABCC1	D008107	Liver Diseases	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	2223	D006402	Hematologic Diseases	OTG	NA	Basophil count	https://genetics.opentargets.org/study/GCST90002292	2020	NA	NA	0.653976091476091	0.78	1	Preclinical	0.78	1	0	both	unsupported target
ABCC1-D008113	0.246	3	ABCC1-D008113	ABCC1	D008113	Liver Neoplasms	NA	Phase II	Phase II	NA	4	3	TRUE	TRUE	NA	NA	FALSE	NA	2223	D006402	Hematologic Diseases	OTG	NA	Basophil count	https://genetics.opentargets.org/study/GCST90002292	2020	NA	NA	0.653976091476091	0.78	1	Phase II	0.78	1	1	gwas	unsupported target
ABCC1-D008268	0.256	1	ABCC1-D008268	ABCC1	D008268	Macular Degeneration	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	2223	D006402	Hematologic Diseases	OTG	NA	Basophil count	https://genetics.opentargets.org/study/GCST90002292	2020	NA	NA	0.653976091476091	0.78	1	Preclinical	0.78	1	0	both	unsupported target
ABCC1-D008545	0.254	1	ABCC1-D008545	ABCC1	D008545	Melanoma	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	2223	D006402	Hematologic Diseases	OTG	NA	Basophil count	https://genetics.opentargets.org/study/GCST90002292	2020	NA	NA	0.653976091476091	0.78	1	Preclinical	0.78	1	0	both	unsupported target
ABCC1-D009369	0.336	1	ABCC1-D009369	ABCC1	D009369	Neoplasms	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	2223	D006402	Hematologic Diseases	OTG	NA	Basophil count	https://genetics.opentargets.org/study/GCST90002292	2020	NA	NA	0.653976091476091	0.78	1	Preclinical	0.78	1	0	gwas	unsupported target
ABCC1-D010190	0.582	3	ABCC1-D010190	ABCC1	D010190	Pancreatic Neoplasms	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	2213	D003920	Diabetes Mellitus	OTG	NA	Hemoglobin A1c levels	https://genetics.opentargets.org/study/GCST90018958	2021	NA	NA	0.252763739734681	0.77	1	Phase II	0.77	1	2	gwas	unsupported target
ABCC1-D011471	0.521	1	ABCC1-D011471	ABCC1	D011471	Prostatic Neoplasms	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	2240	D051437	Renal Insufficiency	OTG	NA	Creatinine levels	https://genetics.opentargets.org/study/GCST90025946	2021	NA	NA	0.586624951114587	0.63	1	Preclinical	0.63	1	0	both	unsupported target
ABCC1-D015179	0.254	3	ABCC1-D015179	ABCC1	D015179	Colorectal Neoplasms	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	2223	D006402	Hematologic Diseases	OTG	NA	Basophil count	https://genetics.opentargets.org/study/GCST90002292	2020	NA	NA	0.653976091476091	0.78	1	Phase II	0.78	1	2	both	unsupported target
ABCC1-D015212	0.248	1	ABCC1-D015212	ABCC1	D015212	Inflammatory Bowel Diseases	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	2223	D006402	Hematologic Diseases	OTG	NA	Basophil count	https://genetics.opentargets.org/study/GCST90002292	2020	NA	NA	0.653976091476091	0.78	1	Preclinical	0.78	1	0	both	unsupported target
ABCC4-D009369	0.451	1	ABCC4-D009369	ABCC4	D009369	Neoplasms	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	2338	D006394	Hemangiosarcoma	intOGen	oncogene	Angiosarcoma	https://www.intogen.org/search?gene=ABCC4&cancer=ANGS	2023	NA	NA	NA	NA	NA	Preclinical	NA	NA	0	gwas	unsupported target
ABCC8-D000787	0.581	1	ABCC8-D000787	ABCC8	D000787	Angina Pectoris	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	2506	D007839	Functional Laterality	OTG	NA	Medication use (drugs used in diabetes)	https://genetics.opentargets.org/study/GCST90018981	2021	NA	NA	0.636103151862464	0.32	2	Preclinical	0.32	2	0	gwas	unsupported target
ABCC8-D002545	0.508	4	ABCC8-D002545	ABCC8	D002545	Brain Ischemia	NA	Phase III	Phase III	NA	5	4	TRUE	TRUE	TRUE	NA	TRUE	NA	2501	D006973	Hypertension	OTG	NA	Systolic blood pressure	https://genetics.opentargets.org/study/GCST006228	2016	NA	NA	0.636866059817945	0.13	3	Phase III	0.13	3	2	omim/tcga	unsupported target
